@list,scene_id,character_id,text,choice_1,choice_2,choice_3,next_dialogue_id
id,ref<Scenes>,ref<Characters>,text,text,text,text,ref<Dialogues>
1,1,1,早上好，阳太君！今天也是精神饱满呢！,早上好，雪！,嗯，你也是！,（微笑）,2
2,1,2,早上好，雪。今天天气真好啊！,是啊，很适合散步,还好吧，有点热,（点头）,3
3,1,3,阳太君，雪，早上好！,早上好，麻衣,早啊,（挥手）,4
4,1,4,早上好...,早啊，健太,嗯，早上好,（点头）,5
5,2,1,阳太君，放学后要不要一起去图书馆？,好啊，我很乐意,抱歉，今天有事,（犹豫）,6
6,2,2,好啊，一起去吧。,太好了！,（微笑）,,7
7,2,3,那我也一起去！,欢迎,人多热闹,（点头）,8
8,3,1,阳太君，你在看什么书？,关于历史的书,随便翻翻,（微笑）,9
9,3,2,关于历史的书，很有趣。,我也喜欢历史呢,听起来不错,（点头）,10
10,4,1,阳太君，要喝点什么？,咖啡,茶,果汁,11
11,4,2,咖啡吧，谢谢。,马上来,好的,（微笑）,12
12,4,1,给你，热咖啡。,谢谢,（接过咖啡）,,13
13,5,1,阳太君，今天的月亮真美。,是啊，很美,（点头）,,14
14,5,2,雪，你今天看起来特别漂亮。,（脸红）谢谢,（微笑）,,15
15,5,1,阳太君...我有话想对你说。,什么事？,我在听,（认真）,16
16,5,1,我...我喜欢你，阳太君。,我也喜欢你,（惊讶）,（沉默）,17
17,6,2,雪，我也喜欢你。,（害羞）,（拥抱）,,18
18,6,1,太好了，阳太君！,（微笑）,（点头）,,0
