@list,name,slot,item_id,class_restriction,gem_slots,set_id,attack,defense,hp_bonus,mp_bonus
id,text,text,ref<Items>,[ref<Classes>],[ref<Gems>],ref<SetBonus>,i32,i32,i32,i32
1,龙骑士头盔,头部,1,"1","1,2",1,20,50,100,0
2,龙骑士胸甲,胸部,1,"1","1,2,3",1,30,100,200,0
3,龙骑士护腿,腿部,1,"1","1,2",1,25,80,150,0
4,龙骑士护手,手部,1,"1","1",1,15,40,80,0
5,龙骑士战靴,脚部,1,"1","1",1,15,45,80,0
6,龙骑士披风,背部,1,"1","1",1,10,30,60,0
7,暗影刺客面罩,头部,1,"4","1,2",2,30,20,50,0
8,暗影刺客胸甲,胸部,1,"4","1,2,3",2,40,40,100,0
9,神圣守护头盔,头部,1,"1,6","1,2",3,10,80,150,50
10,神圣守护胸甲,胸部,1,"1,6","1,2,3",3,15,150,300,100
11,元素法师头冠,头部,1,"2,8","4,5",4,25,15,30,100
12,元素法师长袍,胸部,1,"2,8","4,5,6",4,35,30,60,200
13,自然之心头环,头部,1,"7","4,5",5,15,25,50,80
14,猎人王者头盔,头部,1,"5","1,7",6,35,20,60,0
15,黑暗契约兜帽,头部,1,"8","4,5",7,30,15,40,120
16,神圣之光冠冕,头部,1,"3","4,5,13",8,10,20,40,150
