@list,name,description,type,start_time,end_time,rewards,requirements
id,text,text,text,datetime,datetime,[ref<Items>],text
1,新春庆典,新年活动,获得双倍经验和金币,节日,2025-01-01 00:00:00,2025-01-07 23:59:59,"1,2,3",等级达到10级
2,情人节活动,情人节特别活动,收集爱心兑换奖励,节日,2025-02-14 00:00:00,2025-02-14 23:59:59,"1,2",无
3,复活节寻蛋,复活节彩蛋活动,寻找隐藏的彩蛋,节日,2025-04-18 00:00:00,2025-04-21 23:59:59,"1,2,3,4",等级达到5级
4,夏日狂欢,夏季活动,享受夏日清凉奖励,节日,2025-07-01 00:00:00,2025-07-31 23:59:59,"1,2,3,4,5",无
5,万圣节派对,万圣节特别活动,收集糖果兑换奖励,节日,2025-10-25 00:00:00,2025-10-31 23:59:59,"1,2,3",等级达到15级
6,感恩节庆典,感恩节活动,感恩回馈奖励,节日,2025-11-27 00:00:00,2025-11-30 23:59:59,"1,2,3,4",无
7,圣诞节活动,圣诞节特别活动,圣诞老人送礼物,节日,2025-12-20 00:00:00,2025-12-26 23:59:59,"1,2,3,4,5,6",等级达到20级
8,周末双倍,周末双倍经验活动,周末,2025-01-04 00:00:00,2025-01-05 23:59:59,"1,2",无
9,公会战,公会争霸赛,公会,PVP,2025-03-01 00:00:00,2025-03-07 23:59:59,"8,9,10",加入公会
10,竞技赛季,竞技场赛季奖励,PVP,2025-01-01 00:00:00,2025-03-31 23:59:59,"3,4,5",等级达到30级
