@list,name,description,quality,stat_type,stat_value,color
id,text,text,Quality,text,i32,color
1,红宝石碎片,增加攻击力的宝石碎片,Common,攻击,5,#FF0000
2,红宝石,增加攻击力的宝石,Uncommon,攻击,10,#FF0000
3,完美红宝石,大幅增加攻击力的宝石,Rare,攻击,20,#FF0000
4,蓝宝石碎片,增加法力的宝石碎片,Common,法力,10,#0000FF
5,蓝宝石,增加法力的宝石,Uncommon,法力,25,#0000FF
6,完美蓝宝石,大幅增加法力的宝石,Rare,法力,50,#0000FF
7,绿宝石碎片,增加敏捷的宝石碎片,Common,敏捷,5,#00FF00
8,绿宝石,增加敏捷的宝石,Uncommon,敏捷,10,#00FF00
9,完美绿宝石,大幅增加敏捷的宝石,Rare,敏捷,20,#00FF00
10,黄宝石碎片,增加智力的宝石碎片,Common,智力,5,#FFFF00
11,黄宝石,增加智力的宝石,Uncommon,智力,10,#FFFF00
12,完美黄宝石,大幅增加智力的宝石,Rare,智力,20,#FFFF00
13,紫水晶碎片,增加精神的宝石碎片,Common,精神,5,#FF00FF
14,紫水晶,增加精神的宝石,Uncommon,精神,10,#FF00FF
15,完美紫水晶,大幅增加精神的宝石,Rare,精神,20,#FF00FF
16,钻石,全属性提升的稀有宝石,Epic,全属性,15,#FFFFFF
17,黑曜石,增加暴击的宝石,Epic,暴击,10,#333333
18,星辰石,增加命中的宝石,Epic,命中,15,#87CEEB
