@list,name,level,hp,attack,defense,type,drop_table,skills,is_boss
id,text,i32,i32,i32,i32,text,[&DropTable],[&Skills],bool
1,野狼,1,50,10,5,野兽,"1,4",,false
2,野猪,3,80,15,10,野兽,"1,4",,false
3,哥布林,5,100,20,8,人形,"1,2,4",,false
4,骷髅兵,8,120,25,15,亡灵,"2,4",,false
5,石像鬼,12,200,35,30,元素,"2,3,5",,false
6,食人魔,15,350,50,25,人形,"3,5,6",,false
7,暗影刺客,20,280,60,20,人形,"4,5,6","13,14",false
8,火焰元素,25,400,70,35,元素,"5,6",,false
9,冰霜巨人,30,600,80,50,巨人,"6,7",,false
10,黑龙幼崽,35,800,100,60,龙族,"7,8",,false
11,哥布林王,10,500,40,30,人形,"3,4,5",,true
12,骷髅王,20,1000,60,40,亡灵,"5,6,7",,true
13,炎魔,30,2000,100,60,恶魔,"7,8",,true
14,冰霜女王,35,2500,120,70,元素,"8,9",,true
15,远古巨龙,40,5000,150,100,龙族,"9,10",,true
