@list,name,description,type,prerequisites,required_level,reward_gold,reward_exp,reward_items
id,text,text,text,[&Quests],i32,i32,i32,[&Items]
1,初入江湖,完成新手教程,了解游戏基本操作,主线,,1,10,100,
2,狩猎野狼,击杀10只野狼,主线,"1",2,50,200,"1"
3,哥布林威胁,击杀15只哥布林,主线,"2",5,100,500,"2"
4,探索洞穴,完成哥布林洞穴副本,主线,"3",5,200,1000,"3,7"
5,骷髅入侵,击杀20只骷髅兵,主线,"4",8,150,800,"2"
6,亡者墓地,完成亡者墓地副本,主线,"5",10,300,1500,"3,8"
7,元素之力,击杀10只火焰元素,主线,"6",20,400,2000,"5"
8,冰霜挑战,完成冰霜堡垒副本,主线,"7",25,500,3000,"6,8"
9,巨龙传说,完成巨龙巢穴副本,主线,"8",35,1000,10000,"8,9,10"
10,收集材料,收集10个野狼皮毛,日常,,1,20,50,"1"
11,矿工任务,收集5个矿石,日常,,5,30,80,"1,4"
12,草药采集,收集10株草药,日常,,10,40,100,"1,2"
13,副本挑战,完成任意副本,日常,,5,50,200,"1,2"
14,公会贡献,向公会捐赠100金币,日常,,10,10,150,
15,竞技场挑战,参与3场竞技场战斗,日常,,15,60,300,"1"
