@list,name,description,type,cost,damage,block,effects,rarity,character_id
id,text,text,text,i32,i32,i32,"[&Effects]",Rarity,&Characters
1,斩击,基础攻击招式,攻击,1,6,0,"[]",Common,1
2,重击,造成较高伤害,攻击,2,12,0,"[]",Common,1
3,防御姿态,获得格挡值,防御,1,0,5,"[]",Common,1
4,战吼,提升攻击力,技能,0,0,0,"[8]",Common,1
5,狂暴,大幅提升攻击但降低防御,技能,2,0,0,"[8,7]",Uncommon,1
11,火球术,发射火球造成伤害,攻击,1,8,0,"[1]",Common,2
12,冰霜新星,冰冻周围敌人,攻击,2,5,0,"[2]",Common,2
13,魔法护盾,创建魔法护盾,防御,1,0,8,"[5]",Common,2
14,奥术智慧,恢复能量,技能,0,0,0,"[13]",Common,2
15,烈焰风暴,强大的火焰攻击,攻击,3,20,0,"[1,1]",Rare,2
21,背刺,从暗处发动攻击,攻击,1,9,0,"[]",Common,3
22,闪避,获得闪避效果,防御,1,0,4,"[6]",Common,3
23,毒刃,攻击附带中毒,攻击,2,5,0,"[3]",Common,3
24,隐匿,进入隐身状态,技能,1,0,0,"[15]",Uncommon,3
25,致命一击,高伤害攻击,攻击,3,18,0,"[4]",Rare,3
31,穿刺射击,远程攻击,攻击,1,7,0,"[]",Common,4
32,陷阱布置,布置陷阱,技能,1,0,0,"[3]",Common,4
33,猎人印记,标记敌人,技能,0,0,0,"[8]",Common,4
34,多重射击,攻击多次,攻击,2,4,0,"[]",Uncommon,4
35,狙击,高伤害远程攻击,攻击,3,20,0,"[10]",Rare,4
41,神圣打击,圣光攻击,攻击,1,6,0,"[]",Common,5
42,圣盾术,创建神圣护盾,防御,2,0,12,"[5]",Common,5
43,治愈之手,恢复生命,技能,1,0,0,"[12]",Common,5
44,审判,对敌人造成伤害,攻击,2,10,0,"[1]",Uncommon,5
45,神圣庇护,大幅提升防御,技能,2,0,0,"[9,9]",Rare,5
