@list,名称,描述,类型,持续时间,效果值,可叠加,最大叠加层数
id,name,description,type,duration,value,stackable,max_stacks
i32,text,text,text,i32,i32,bool,i32
1,燃烧,每秒造成伤害,dot,3,5,true,5
2,冰冻,降低移动速度,debuff,2,0,false,1
3,中毒,每秒造成伤害,dot,5,3,true,10
4,流血,每秒造成伤害,dot,4,4,true,5
5,护盾,吸收伤害,buff,3,20,false,1
6,加速,提高移动速度,buff,5,30,false,1
7,减速,降低移动速度,debuff,3,25,false,1
8,攻击力提升,提高攻击力,buff,4,15,true,3
9,防御力提升,提高防御力,buff,4,10,true,3
10,眩晕,无法行动,debuff,1,0,false,1
11,中毒免疫,免疫中毒效果,buff,5,0,false,1
12,生命恢复,每秒恢复生命,buff,5,8,true,3
13,能量恢复,每回合恢复能量,buff,3,1,true,2
14,反击,受到攻击时反弹伤害,buff,2,10,false,1
15,隐身,不会被敌人发现,buff,2,0,false,1
