@list,名称,生命值,攻击力,防御力,类型,出现层数范围,掉落金币最小值,掉落金币最大值,掉落遗物,技能,是否精英,是否BOSS
id,name,hp,attack,defense,type,floor_range,drop_gold_min,drop_gold_max,drop_relics,skills,is_elite,is_boss
i32,text,i32,i32,i32,text,"vec2<i32>",i32,i32,"[&Relics]","[&Effects]",bool,bool
1,史莱姆,20,5,0,普通,"(1,5)",5,10,"[]","[1]",false,false
2,哥布林,35,8,2,普通,"(1,10)",10,20,"[]","[7]",false,false
3,骷髅兵,40,10,5,亡灵,"(3,15)",15,25,"[1]","[4]",false,false
4,幽灵,30,12,0,亡灵,"(5,20)",20,30,"[]","[2,15]",false,false
5,石像鬼,80,15,20,构造,"(10,25)",30,50,"[2]","[5,14]",true,false
6,火焰恶魔,100,20,10,恶魔,"(15,30)",40,60,"[3]","[1,8]",true,false
7,冰霜巨人,150,25,25,巨人,"(20,35)",50,80,"[4]","[2,7]",true,false
8,暗影刺客,60,30,5,恶魔,"(25,40)",35,55,"[5]","[10,15]",false,false
9,毒蜘蛛,45,15,8,野兽,"(5,20)",15,25,"[]","[3]",false,false
10,血蝙蝠,25,10,0,野兽,"(1,15)",8,15,"[]","[4]",false,false
11,骷髅王,300,40,30,亡灵,"(30,40)",100,150,"[6,7]","[4,10,8]",false,true
12,炎龙,500,60,40,龙,"(40,50)",200,300,"[8,9,10]","[1,8,14]",false,true
13,死灵法师,200,35,15,亡灵,"(25,35)",80,120,"[5,6]","[3,10,12]",false,true
14,宝箱怪,100,20,50,构造,"(10,30)",50,100,"[1,2,3]","[10]",false,false
15,暗影领主,400,50,35,恶魔,"(45,50)",150,250,"[9,10]","[10,8,14]",false,true
