@list,事件ID,选项文字,结果文字,下一个事件ID,奖励金币,奖励遗物,奖励效果,生命变化,需要金币,需要生命百分比
id,event_id,option_text,result_text,next_event_id,reward_gold,reward_relics,reward_effects,health_change,required_gold,required_health_percent
i32,&Events,text,text,&Events,i32,"[&Relics]","[&Effects]",i32,i32,f32
1,1,打开宝箱,宝箱中装满了金币和一件遗物!,0,100,"[1]","[]",0,0,0.0
2,1,小心检查后打开,你发现了一个陷阱，但成功避开了!,0,50,"[2]","[5]",0,0,0.0
3,1,离开宝箱,明智的选择，也许下次会有更好的机会。,0,0,"[]","[]",0,0,0.0
4,2,购买遗物,你获得了一件神秘的遗物。,0,0,"[3]","[]",0,100,0.0
5,2,购买药水,你获得了一瓶神奇的药水。,0,0,"[]","[12]",0,50,0.0
6,2,离开商店,也许下次再来。,0,0,"[]","[]",0,0,0.0
7,3,挑战精英,经过激烈的战斗，你击败了精英!,0,150,"[5]","[8]",-20,0,0.3
8,3,绕道而行,你选择了更安全的路线。,0,0,"[]","[]",0,0,0.0
9,4,献祭生命,祭坛闪烁着光芒，你获得了力量。,0,0,"[]","[8,9]",-30,0,0.5
10,4,献祭金币,祭坛接受了你的献祭。,0,0,"[4]","[5]",0,50,0.0
11,4,离开祭坛,你决定不冒险。,0,0,"[]","[]",0,0,0.0
12,5,尝试解除陷阱,你成功解除了陷阱!,0,80,"[]","[]",0,0,0.0
13,5,强行通过,你受到了陷阱的伤害。,0,30,"[]","[]",-25,0,0.0
14,5,寻找其他路线,你找到了一条安全的路。,0,0,"[]","[]",0,0,0.0
15,6,投入金币许愿,你的愿望实现了!,0,0,"[6]","[12]",0,30,0.0
16,6,投入生命许愿,池水泛起涟漪，你获得了力量。,0,0,"[]","[8,8]",-20,0,0.0
17,6,离开许愿池,你决定保留自己的资源。,0,0,"[]","[]",0,0,0.0
18,7,进行攻击训练,你的攻击力提升了!,0,0,"[]","[8]",0,20,0.0
19,7,进行防御训练,你的防御力提升了!,0,0,"[]","[9]",0,20,0.0
20,7,离开训练场,也许下次再来训练。,0,0,"[]","[]",0,0,0.0
