@list,name,description,min_level,max_level,monsters,boss_id,rewards_gold_min,rewards_gold_max,rewards_exp
id,text,text,i32,i32,[ref<Monsters>],ref<Monsters>,i32,i32,i32
1,哥布林营地,哥布林的聚集地，适合新手练级,1,2,"1,1,2",2,50,100,80
2,骷髅墓穴,充满亡灵的古老墓穴,2,3,"3,3,5",5,100,200,150
3,蜘蛛森林,巨型蜘蛛的栖息地,3,4,"4,4,4",4,150,300,200
4,兽人要塞,兽人的军事基地,2,4,"2,2,7",7,200,400,250
5,火焰神殿,火元素的领地,5,6,"10,10",10,300,600,400
6,暗影迷宫,暗影刺客的训练场,4,5,"6,6,9",9,250,500,350
7,龙之巢穴,幼龙的巢穴，危险重重,5,6,"8,8",8,400,800,500
8,吸血鬼城堡,吸血鬼的古老城堡,5,6,"9,9,9",9,350,700,450
9,元素圣殿,各种元素的聚集地,6,7,"10,10,10",10,500,1000,600
10,魔王宫殿,最终副本，挑战魔王,7,10,"7,8,9,10",10,1000,2000,1000
