@list,name,level,health,damage,defense,type,drop_items,skills
id,text,i32,i32,i32,i32,ref<MonsterType>,[ref<DropTable>],[ref<Skills>]
1,哥布林,1,50,5,2,Normal,"1,2","1"
2,兽人,2,80,8,4,Normal,"3,4","1,2"
3,骷髅,2,60,6,3,Undead,"2,5","1"
4,巨型蜘蛛,3,100,10,5,Beast,"4,6","1,2,3"
5,僵尸,3,90,7,4,Undead,"2,5,7","1,2"
6,精灵弓箭手,4,70,12,3,Humanoid,"3,6,8","1,2,3,4"
7,食人魔,4,150,15,8,Giant,"4,7,9","1,2,3"
8,幼龙,5,200,20,10,Dragon,"5,8,10","1,2,3,4,5"
9,吸血鬼,5,120,18,6,Undead,"6,9,11","1,2,3,4"
10,火元素,6,180,25,8,Elemental,"7,10,12","1,2,3,4,5,6"
