@list,name,description,type,prerequisite,reward_gold,reward_exp,reward_items
id,text,text,text,[&Quest],i32,i32,[&Item]
1,新手训练,完成基础训练，学习战斗技巧,main,,100,50,"3"
2,哥布林威胁,清除村庄附近的哥布林,hunt,,150,80,"3,6"
3,收集材料,收集10个铁矿石,collect,"1",200,100,
4,骷髅洞穴,探索骷髅洞穴并击败骷髅王,dungeon,"2",300,150,"4"
5,火焰试炼,击败火元素获得火焰精华,hunt,"3",400,200,"5"
6,装备升级,将装备强化到+5,craft,"1,3",250,120,
7,暗影刺客,击败暗影刺客获得暗影宝石,dungeon,"4,5",500,250,"11"
8,龙之巢穴,挑战幼龙并夺取龙鳞,dungeon,"5",600,300,"13"
9,传说之路,收集一套传说装备,collect,"7,8",1000,500,"9,10"
10,最终挑战,击败所有BOSS完成游戏,main,"9",2000,1000,"13,15"
