@list,name,description,piece_count_2_effect,piece_count_4_effect
id,text,text,text,text
1,烈焰套装,火焰法师的传说装备,火焰伤害+15%,火焰伤害+30%，攻击有10%几率触发火焰爆发
2,寒冰套装,冰霜法师的神秘装备,冰霜伤害+15%,冰霜伤害+30%，攻击有10%几率冻结敌人
3,雷霆套装,雷电法师的强力装备,雷电伤害+15%,雷电伤害+30%，攻击有10%几率连锁闪电
4,暗影套装,暗影刺客的隐秘装备,暴击伤害+20%,暴击伤害+40%，攻击有15%几率触发暗影打击
5,圣光套装,圣骑士的神圣装备,治疗效果+15%,治疗效果+30%，受到伤害时有10%几率获得护盾
6,狂战士套装,狂战士的战斗装备,物理伤害+10%,物理伤害+25%，生命值低于30%时伤害翻倍
7,守护者套装,守护者的防御装备,防御力+15%,防御力+35%，受到伤害减少10%
8,猎人套装,猎人的敏捷装备,攻击速度+10%,攻击速度+25%，暴击率+15%
9,死灵套装,死灵法师的黑暗装备,暗影伤害+15%,暗影伤害+30%，击杀敌人恢复5%生命值
10,龙血套装,龙骑士的传说装备,全属性+5%,全属性+12%，受到的火焰伤害减少50%
