@list,name,type,level,hp,build_time,resource_cost,effect,description,required_technologies
id,text,text,u32,u32,u32,u32,text,text,[ref<Technologies>]
1,主城,core,1,1000,300,1000,基础建筑，增加人口上限,游戏的核心建筑,[]
2,兵营,military,1,500,150,500,训练步兵和骑兵,训练地面单位的建筑,[]
3,箭塔,defense,1,300,100,300,防御建筑，攻击敌人,防御性建筑,[]
4,资源矿,resource,1,400,120,400,产出资源,产出基础资源的建筑,[]
5,法师塔,military,2,600,200,800,训练法师和牧师,训练魔法单位的建筑,[6]
6,城堡,core,2,2000,400,2000,增加人口上限和防御,高级核心建筑,[]
7,马厩,military,2,550,180,600,训练骑兵和骑士,训练骑兵单位的建筑,[4]
8,城墙,defense,2,1500,350,1500,增加城市防御,增强城市防御的建筑,[5]
9,学院,technology,3,800,250,1000,研究科技,解锁和研究科技的建筑,[]
10,巨龙巢,military,3,1000,300,1500,训练龙,训练龙单位的建筑,[6,10]
11,铁匠铺,resource,1,350,100,350,提升装备质量,生产装备和升级武器的建筑,[]
12,市场,resource,2,450,150,500,资源交易,可以进行资源交换的建筑,[3]
