@list,name,description,research_time,resource_cost,required_building,level_requirement,effect,prerequisites
id,text,text,u32,u32,ref<Buildings>,u32,text,[ref<Technologies>]
1,基础训练,提高步兵和弓箭手的攻击力,120,300,2,1,步兵和弓箭手攻击力+5,[]
2,建筑效率,减少建筑建造时间,150,400,1,1,建筑建造时间-10%,[]
3,资源采集,提高资源矿的产出,180,500,4,1,资源产出+20%,[]
4,高级训练,提高骑兵和法师的攻击力,200,700,2,2,骑兵和法师攻击力+8,[1]
5,城防强化,提高城墙和箭塔的生命值,220,800,3,2,防御建筑生命值+20%,[]
6,魔法研究,提高法师和牧师的能力,250,1000,5,2,法师伤害+10，牧师治疗+15,[]
7,军事战术,提高所有单位的攻击力,300,1200,2,3,所有单位攻击力+10,[1,4]
8,建筑大师,进一步减少建筑建造时间,350,1500,6,3,建筑建造时间-20%,[2]
9,资源掌控,进一步提高资源产出,400,1800,4,3,资源产出+30%,[3]
10,终极训练,提高所有单位的属性,500,2500,9,4,所有单位攻击力+15，生命值+20%,[1,4,7]
11,骑兵精通,大幅提高骑兵单位的属性,280,900,7,2,骑兵攻击力+12，移动力+1,[4]
12,弓箭精通,提高弓箭手和弩手的攻击力,200,600,2,2,弓箭手和弩手攻击力+10,[1]
