@list,name,type,level,health,attack,defense,movement,range,cost,description,train_building,upgrade_to
id,text,text,u32,u32,u32,u32,u32,u32,u32,text,ref<Buildings>,ref<Units>
1,步兵,ground,1,100,15,10,2,1,100,基础地面单位,2,3
2,弓箭手,ranged,1,80,20,5,2,3,150,远程攻击单位,2,10
3,骑兵,ground,2,120,25,15,3,1,250,高机动性地面单位,7,6
4,法师,ranged,2,70,30,5,2,2,300,魔法攻击单位,5,0
5,投石车,siege,3,150,40,20,1,5,500,攻城单位,2,0
6,骑士,ground,3,180,35,25,3,1,400,高级地面单位,7,9
7,牧师,support,2,90,0,10,2,2,200,治疗单位,5,0
8,龙,air,4,250,50,30,4,2,1000,空中单位,10,0
9,巨人,ground,4,300,45,35,2,1,800,重型地面单位,2,0
10,弩手,ranged,3,90,30,10,2,4,350,高级远程单位,2,0
11,侦察兵,ground,1,60,5,5,5,1,80,快速侦察单位,2,0
12,长枪兵,ground,2,110,18,12,2,1,180,反骑兵单位,2,6
