@list,name,class_id,cards,dust_cost,play_style,difficulty
id,i32,text,&Classes,[(&Cards, i32)],i32,text,text
1,战士武器战,1,(44,2),(45,1),(1,2),(5,2),(10,2),(11,2),(15,2),(17,2),(20,1),(21,1),2400,快攻,简单
2,法师火球法,2,(25,2),(26,2),(27,2),(28,1),(29,2),(3,2),(4,2),(8,2),(11,2),(20,1),2800,控制,中等
3,牧师控制牧,3,(30,2),(31,2),(17,2),(8,2),(11,2),(20,1),(22,1),(23,1),(10,2),(13,1),3200,控制,困难
4,盗贼奇迹贼,4,(32,2),(33,2),(18,2),(46,2),(3,2),(4,2),(8,2),(17,2),(6,2),(5,2),2600,组合技,困难
5,猎人打脸猎,5,(34,2),(35,2),(1,2),(3,2),(5,2),(7,2),(9,2),(12,2),(2,2),(6,2),1800,快攻,简单
6,圣骑士鱼人骑,6,(36,2),(37,2),(47,1),(8,2),(10,2),(13,1),(23,1),(20,1),(15,2),(17,2),3000,中速,中等
7,术士动物园,7,(38,2),(39,2),(1,2),(3,2),(5,2),(7,2),(9,2),(2,2),(4,2),(6,2),1600,快攻,简单
8,德鲁伊咆哮德,8,(40,2),(41,2),(1,2),(3,2),(5,2),(8,2),(11,2),(20,1),(21,1),(10,2),2400,中速,中等
9,萨满打脸萨,9,(42,2),(43,1),(19,2),(1,2),(3,2),(5,2),(7,2),(9,2),(2,2),(4,2),2200,快攻,简单
10,战士防战,1,(44,1),(45,2),(10,2),(13,2),(17,2),(20,2),(22,1),(23,1),(11,2),(8,2),4800,控制,中等
11,法师奥秘法,2,(25,2),(26,2),(27,1),(28,2),(29,1),(3,2),(4,2),(8,2),(11,2),(20,1),2600,中速,中等
12,牧师龙牧,3,(30,2),(31,2),(13,2),(17,2),(8,2),(11,2),(20,1),(22,1),(10,2),(12,2),3000,中速,中等
