@list,name,description,type,target,value,duration,trigger_condition
id,i32,text,text,text,text,i32,i32,text
1,获得护甲,获得指定数量的护甲,增益,自身,2,0,
2,造成伤害,对目标造成指定伤害,伤害,任意,1,0,
3,恢复生命,恢复指定数量的生命值,治疗,任意,2,0,
4,装备武器,装备一把武器,召唤,自身,0,0,
5,召唤随从,召唤指定随从到战场,召唤,战场,1,0,
6,增加攻击力,增加指定攻击力,增益,任意,1,0,
7,增加生命值,增加指定生命值,增益,任意,1,0,
8,抽牌,从牌库抽指定数量的牌,抽牌,自身,1,0,
9,消灭随从,消灭一个随从,消灭,随从,0,0,
10,冻结目标,冻结一个角色,控制,任意,0,1,
11,沉默,沉默一个随从,控制,随从,0,0,
12,复制,复制一张牌,复制,任意,0,0,
13,变形,将随从变形为其他随从,控制,随从,0,0,
14,发现,从三张牌中发现一张,发现,自身,0,0,
15,复活,复活死亡的随从,召唤,战场,1,0,
