@enum,id,name,description,icon
name,i32,text,text,text
Taunt,1,嘲讽,必须攻击此单位,icon_taunt.png
Charge,2,冲锋,可以立即攻击,icon_charge.png
DivineShield,3,圣盾,抵消一次伤害,icon_shield.png
Stealth,4,潜行,无法被选为目标,icon_stealth.png
Windfury,5,风怒,每回合可攻击两次,icon_windfury.png
Deathrattle,6,亡语,死亡时触发效果,icon_death.png
Battlecry,7,战吼,打出时触发效果,icon_battle.png
Discover,8,发现,从三张牌中选择,icon_discover.png
Lifesteal,9,吸血,造成伤害时恢复生命,icon_lifesteal.png
Poison,10,剧毒,消灭任何受到伤害的随从,icon_poison.png
SpellDamage,11,法术伤害,增加法术伤害值,icon_spell.png
Rush,12,突袭,本回合可立即攻击随从,icon_rush.png
Freeze,13,冻结,被冻结的目标下回合无法攻击,icon_freeze.png
Inspire,14,激励,使用英雄技能时触发,icon_inspire.png
Combo,15,连击,如果你已经打出过牌则触发,icon_combo.png
Overload,16,过载,下回合锁定法力水晶,icon_overload.png
