@list,name,description,type,hp,speed,armor,magic_resist,gold_reward,special_ability,icon
id,text,text,text,i32,f32,i32,i32,i32,text,text
1,哥布林,弱小的绿色生物,normal,30,2.5,0,0,5,,enemy_goblin
2,哥布林战士,手持武器的哥布林,normal,50,2.2,2,0,8,,enemy_goblin_warrior
3,兽人,强壮的绿色战士,normal,80,1.8,5,2,12,,enemy_orc
4,兽人精英,身经百战的兽人,normal,120,1.6,8,4,18,,enemy_orc_elite
5,骷髅,不死生物,undead,40,2.0,0,5,6,免疫毒素,enemy_skeleton
6,骷髅弓箭手,远程攻击的骷髅,undead,35,1.8,0,8,10,远程攻击,enemy_skeleton_archer
7,幽灵,虚无缥缈的灵魂,undead,60,3.0,0,20,15,免疫物理,enemy_ghost
8,僵尸,缓慢的不死生物,undead,100,1.0,3,5,8,高生命值,enemy_zombie
9,巨魔,巨大的怪物,giant,200,1.2,10,5,25,再生能力,enemy_troll
10,食人魔,凶残的巨人,giant,300,1.0,15,8,35,,enemy_ogre
11,火焰元素,燃烧的元素生物,elemental,80,1.5,0,15,20,火焰护盾,enemy_fire_elemental
12,冰霜元素,冰冷的元素生物,elemental,70,1.6,0,18,22,冰冻光环,enemy_ice_elemental
13,暗影刺客,隐秘的杀手,elite,90,3.5,2,10,30,隐身,enemy_shadow_assassin
14,黑暗骑士,堕落的骑士,elite,150,1.8,12,12,40,护甲穿透,enemy_dark_knight
15,幼龙,年轻的龙,dragon,180,2.0,8,15,50,火焰吐息,enemy_dragon_whelp
16,成年龙,强大的龙,dragon,400,1.5,15,25,100,范围攻击,enemy_dragon_adult
17,哥布林王,哥布林的首领,boss,500,1.8,10,10,150,召唤哥布林,enemy_goblin_king
18,巫妖王,不死生物的统治者,boss,800,1.2,5,30,200,复活亡灵,enemy_lich_king
19,远古巨龙,传说中的龙,boss,1200,1.0,20,35,350,毁灭吐息,enemy_ancient_dragon
20,混沌领主,最终BOSS,boss,2000,0.8,25,40,500,全屏攻击,enemy_chaos_lord
