@list,name,description,type,attack,attack_speed,range,cost,upgrade_to,projectile_id,special_effect,icon
id,text,text,text,i32,f32,vec3<f32>,i32,&Towers,&Projectiles,&Effects,text
1,箭塔I,基础远程攻击塔,arrow,15,1.0,(3.0,0.0,3.0),50,2,1,,tower_arrow_1
2,箭塔II,强化箭塔,arrow,25,1.2,(3.5,0.0,3.5),80,3,1,,tower_arrow_2
3,箭塔III,精英箭塔,arrow,40,1.5,(4.0,0.0,4.0),120,,2,,tower_arrow_3
4,炮塔I,范围伤害塔,cannon,30,0.6,(2.5,0.0,2.5),80,5,3,,tower_cannon_1
5,炮塔II,强化炮塔,cannon,50,0.7,(3.0,0.0,3.0),130,6,10,,tower_cannon_2
6,炮塔III,精英炮塔,cannon,80,0.8,(3.5,0.0,3.5),180,,10,,tower_cannon_3
7,魔法塔I,魔法攻击塔,magic,20,0.8,(3.0,0.0,3.0),70,8,4,,tower_magic_1
8,魔法塔II,强化魔法塔,magic,35,1.0,(3.5,0.0,3.5),110,9,4,,tower_magic_2
9,魔法塔III,精英魔法塔,magic,55,1.2,(4.0,0.0,4.0),160,,4,,tower_magic_3
10,冰冻塔I,减速敌人,ice,12,0.9,(2.5,0.0,2.5),90,11,5,1,tower_ice_1
11,冰冻塔II,强化冰冻塔,ice,20,1.0,(3.0,0.0,3.0),140,12,9,3,tower_ice_2
12,冰冻塔III,精英冰冻塔,ice,30,1.1,(3.5,0.0,3.5),200,,9,3,tower_ice_3
13,火焰塔I,燃烧伤害,fire,18,0.7,(2.5,0.0,2.5),85,14,6,2,tower_fire_1
14,火焰塔II,强化火焰塔,fire,30,0.8,(3.0,0.0,3.0),135,15,6,2,tower_fire_2
15,火焰塔III,精英火焰塔,fire,45,0.9,(3.5,0.0,3.5),190,,6,2,tower_fire_3
16,闪电塔I,连锁闪电,lightning,25,0.5,(3.5,0.0,3.5),100,17,7,,tower_lightning_1
17,闪电塔II,强化闪电塔,lightning,40,0.6,(4.0,0.0,4.0),150,18,7,,tower_lightning_2
18,闪电塔III,精英闪电塔,lightning,60,0.7,(4.5,0.0,4.5),210,,7,,tower_lightning_3
19,毒液塔I,持续毒素伤害,poison,10,1.0,(2.5,0.0,2.5),75,20,8,4,tower_poison_1
20,毒液塔II,强化毒液塔,poison,18,1.1,(3.0,0.0,3.0),120,21,8,4,tower_poison_2
21,毒液塔III,精英毒液塔,poison,28,1.2,(3.5,0.0,3.5),175,,8,4,tower_poison_3
