@list,name,description,tower_id,upgrade_type,attack_bonus,range_bonus,speed_bonus,cost,required_wave
id,text,text,ref<Towers>,text,i32,f32,f32,i32,i32
1,锋利箭头,增加箭塔攻击力,1,attack,5,0.0,0.0,30,1
2,精准射击,增加箭塔攻击速度,1,speed,0,0.0,0.2,35,2
3,强化弓弦,大幅增加攻击力,2,attack,10,0.0,0.0,50,4
4,重型炮弹,增加炮塔攻击力,4,attack,10,0.0,0.0,40,2
5,爆炸范围,增加炮塔范围伤害,4,splash,0,0.5,0.0,45,3
6,魔法增幅,增加魔法塔攻击力,7,attack,8,0.0,0.0,35,2
7,法力聚焦,增加魔法塔攻击速度,7,speed,0,0.0,0.15,40,3
8,寒冰强化,增强冰冻效果,10,effect,0,0.0,0.0,50,3
9,冰霜范围,增加冰冻塔范围,10,range,0,0.5,0.0,45,4
10,烈焰增幅,增强燃烧伤害,13,attack,8,0.0,0.0,45,3
11,火焰蔓延,增加火焰范围,13,splash,0,0.3,0.0,50,4
12,闪电强化,增加闪电塔攻击力,16,attack,12,0.0,0.0,55,4
13,连锁反应,增加闪电链目标,16,chain,0,0.0,0.0,60,5
14,剧毒强化,增强毒素伤害,19,effect,5,0.0,0.0,40,3
15,毒液扩散,增加毒素范围,19,splash,0,0.3,0.0,45,4
16,攻击精通,增加所有塔攻击力,1,global_attack,3,0.0,0.0,100,5
17,速度精通,增加所有塔攻速,1,global_speed,0,0.0,0.1,120,6
18,范围精通,增加所有塔范围,1,global_range,0,0.5,0.0,150,8
