@list,map_id,wave_number,enemies,spawn_interval,time_before_wave,bonus_gold
id,&Maps,i32,[(&Enemies,i32)],f32,f32,i32
1,1,1,"(1,5)",1.0,3.0,20
2,1,2,"(1,8),(2,3)",0.9,3.0,25
3,1,3,"(1,5),(2,5)",0.8,3.0,30
4,1,4,"(2,8),(3,2)",0.8,3.5,35
5,1,5,"(3,5),(4,2),(17,1)",0.7,4.0,50
6,2,1,"(1,10)",1.0,3.0,25
7,2,2,"(1,8),(2,5)",0.9,3.0,30
8,2,3,"(2,6),(3,4)",0.8,3.0,35
9,2,4,"(3,6),(4,3)",0.8,3.5,40
10,2,5,"(4,5),(5,5)",0.7,3.5,45
11,2,6,"(5,6),(6,4)",0.7,4.0,50
12,2,7,"(6,5),(7,3),(9,2)",0.6,4.0,60
13,2,8,"(8,8),(9,3),(17,1)",0.6,5.0,80
14,3,1,"(1,8),(5,4)",1.0,3.0,30
15,3,2,"(5,8),(6,4)",0.9,3.0,35
16,3,3,"(6,6),(7,4)",0.8,3.0,40
17,3,4,"(7,5),(8,5)",0.8,3.5,45
18,3,5,"(8,6),(9,4)",0.7,3.5,50
19,3,6,"(9,5),(10,3)",0.7,4.0,55
20,3,7,"(10,4),(11,3)",0.6,4.0,60
21,3,8,"(11,4),(12,3)",0.6,4.5,65
22,3,9,"(12,4),(13,2)",0.5,4.5,70
23,3,10,"(13,3),(14,2),(18,1)",0.5,5.0,100
24,4,1,"(2,10),(5,5)",0.9,3.0,35
25,4,2,"(3,8),(5,6)",0.8,3.0,40
26,4,3,"(4,6),(7,4)",0.8,3.5,45
27,4,4,"(7,6),(8,4)",0.7,3.5,50
28,4,5,"(8,5),(9,5)",0.7,4.0,55
29,4,6,"(9,5),(10,4)",0.6,4.0,60
30,4,7,"(10,5),(11,4)",0.6,4.5,65
